Local Time,Speed/Gust (km/h),Temp/Feels Like,Humidity,Pressure (mb),Precip Amount,Weather,Day_Fri,Day_Mon,Day_Sat,Day_Sun,Day_Thu,Day_Tue,Day_Wed,Direction_ E,Direction_ ENE,Direction_ ESE,Direction_ N,Direction_ NE,Direction_ NNE,Direction_ NNW,Direction_ NW,Direction_ S,Direction_ SE,Direction_ SSE,Direction_ SSW,Direction_ SW,Direction_ W,Direction_ WSW,CloudAmount_high,CloudAmount_low,CloudAmount_medium
22,1.0,11 ,0.92,1026,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.56,12 ,0.75,1020,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,0.43,12 ,0.78,1019,0.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7,0.58,12 ,0.85,1019,2.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10,0.86,13 ,0.82,1018,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
13,0.85,14 ,0.82,1019,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16,0.5,14 ,0.86,1019,0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
19,0.38,13 ,0.94,1020,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22,0.56,12 ,0.97,1021,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.67,12 ,0.95,1020,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4,0.14,11 ,0.96,1017,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0.25,10 ,0.95,1014,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0.6,11 ,0.88,1012,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
